X1,Y1,X2,Y2,X3,Y3,Vel
-0.00664502,-0.0190593,0.00247862,-0.0296706,0.00817303,-0.0160997,0.000184709
0.00817303,-0.0160997,-0.00355702,-0.00228375,-0.00664502,-0.0190593,0.000184709
0.00247862,-0.0296706,0.0168381,-0.0289221,0.00817303,-0.0160997,0.000184709
-0.00664502,-0.0190593,-0.00919277,-0.0308005,0.00247862,-0.0296706,0.000184709
0.00632314,0.0128982,-0.00109852,0.0274433,-0.00995105,0.0146089,0
-0.00995105,0.0146089,-0.00355702,-0.00228375,0.00632314,0.0128982,5.58294e-322
-0.00109852,0.0274433,-0.0166667,0.0286562,-0.00995105,0.0146089,1.97626e-323
0.00632314,0.0128982,0.0149305,0.0267361,-0.00109852,0.0274433,0
0.0229075,0.012572,0.00632314,0.0128982,0.0149079,-0.00153548,0
0.0149079,-0.00153548,0.0310219,-0.00142796,0.0229075,0.012572,0
0.00632314,0.0128982,-0.00355702,-0.00228375,0.0149079,-0.00153548,0
0.0229075,0.012572,0.0149305,0.0267361,0.00632314,0.0128982,0
0.0238431,-0.0153376,0.0322953,-0.0287784,0.0396358,-0.0148633,0
0.0396358,-0.0148633,0.0310219,-0.00142796,0.0238431,-0.0153376,0
0.0322953,-0.0287784,0.0502901,-0.0291666,0.0396358,-0.0148633,0
0.0238431,-0.0153376,0.0168381,-0.0289221,0.0322953,-0.0287784,0
0.0460182,-0.0013388,0.0543593,0.010606,0.039159,0.0123598,0
0.039159,0.0123598,0.0310219,-0.00142796,0.0460182,-0.0013388,0
0.0543593,0.010606,0.0498505,0.0272137,0.039159,0.0123598,0
0.0460182,-0.0013388,0.0580685,-0.00111343,0.0543593,0.010606,2.42092e-322
0.00247862,-0.0296706,-0.00444129,-0.0413486,0.00947314,-0.0417673,0
0.00947314,-0.0417673,0.0168381,-0.0289221,0.00247862,-0.0296706,0
-0.00444129,-0.0413486,0.00160762,-0.0540578,0.00947314,-0.0417673,0
0.00247862,-0.0296706,-0.00919277,-0.0308005,-0.00444129,-0.0413486,0
-0.0309274,-0.032508,-0.0180168,-0.038785,-0.0191244,-0.0249471,0
-0.0191244,-0.0249471,-0.0309372,-0.0179326,-0.0309274,-0.032508,2.42092e-322
-0.0180168,-0.038785,-0.00919277,-0.0308005,-0.0191244,-0.0249471,10
-0.0309274,-0.032508,-0.0303504,-0.0498275,-0.0180168,-0.038785,10
0.0241623,-0.0419848,0.00947314,-0.0417673,0.0162942,-0.0546341,10
0.0162942,-0.0546341,0.0309054,-0.0552216,0.0241623,-0.0419848,10
0.00947314,-0.0417673,0.00160762,-0.0540578,0.0162942,-0.0546341,0
0.0241623,-0.0419848,0.0168381,-0.0289221,0.00947314,-0.0417673,2.42092e-322
-0.0308552,-0.0041632,-0.0418579,0.00323888,-0.0427711,-0.0104165,0
-0.0427711,-0.0104165,-0.0309372,-0.0179326,-0.0308552,-0.0041632,0
-0.0418579,0.00323888,-0.0544625,-0.00225265,-0.0427711,-0.0104165,0
-0.0308552,-0.0041632,-0.0312495,0.00729752,-0.0418579,0.00323888,0
-0.0133478,-0.0527354,-0.00444129,-0.0413486,-0.0180168,-0.038785,0
-0.0180168,-0.038785,-0.0303504,-0.0498275,-0.0133478,-0.0527354,2.42092e-322
-0.00444129,-0.0413486,-0.00919277,-0.0308005,-0.0180168,-0.038785,0
-0.0133478,-0.0527354,0.00160762,-0.0540578,-0.00444129,-0.0413486,0
-0.0319598,0.0294149,-0.0387711,0.0166075,-0.0246989,0.0168297,0
-0.0246989,0.0168297,-0.0166667,0.0286562,-0.0319598,0.0294149,0
-0.0387711,0.0166075,-0.0312495,0.00729752,-0.0246989,0.0168297,0
-0.0319598,0.0294149,-0.0496038,0.0295387,-0.0387711,0.0166075,2.42092e-322
-0.0432728,-0.0246993,-0.0427711,-0.0104165,-0.0551999,-0.0166885,0.000204239
-0.0551999,-0.0166885,-0.055902,-0.0312097,-0.0432728,-0.0246993,0.000204239
-0.0427711,-0.0104165,-0.0544625,-0.00225265,-0.0551999,-0.0166885,0.000204239
-0.0432728,-0.0246993,-0.0309372,-0.0179326,-0.0427711,-0.0104165,0.000204239
-0.0527694,0.0125748,-0.0418579,0.00323888,-0.0387711,0.0166075,0
-0.0387711,0.0166075,-0.0496038,0.0295387,-0.0527694,0.0125748,5.58294e-322
-0.0418579,0.00323888,-0.0312495,0.00729752,-0.0387711,0.0166075,1.97626e-323
-0.0527694,0.0125748,-0.0544625,-0.00225265,-0.0418579,0.00323888,0
-0.0308552,-0.0041632,-0.0184415,-0.010822,-0.0197459,0.00359498,0
-0.0197459,0.00359498,-0.0312495,0.00729752,-0.0308552,-0.0041632,0
-0.0184415,-0.010822,-0.00355702,-0.00228375,-0.0197459,0.00359498,0
-0.0308552,-0.0041632,-0.0309372,-0.0179326,-0.0184415,-0.010822,0
0.0386529,0.0410712,0.0228112,0.0404075,0.0313959,0.0266623,0
0.0313959,0.0266623,0.0498505,0.0272137,0.0386529,0.0410712,0
0.0228112,0.0404075,0.0149305,0.0267361,0.0313959,0.0266623,0
0.0386529,0.0410712,0.030077,0.0539229,0.0228112,0.0404075,0
-0.0156395,0.0545855,-0.0236843,0.042062,-0.00833781,0.0412461,0
-0.00833781,0.0412461,-0.000438019,0.0540744,-0.0156395,0.0545855,0
-0.0236843,0.042062,-0.0166667,0.0286562,-0.00833781,0.0412461,0
-0.0156395,0.0545855,-0.0305137,0.0553727,-0.0236843,0.042062,2.42092e-322
0.0386529,0.0410712,0.0537013,0.044104,0.0444948,0.0547432,0
0.0444948,0.0547432,0.030077,0.0539229,0.0386529,0.0410712,0
0.0537013,0.044104,0.0563445,0.0560215,0.0444948,0.0547432,0
0.0386529,0.0410712,0.0498505,0.0272137,0.0537013,0.044104,0
0.0148178,0.0537204,0.00707489,0.0406094,0.0228112,0.0404075,0
0.0228112,0.0404075,0.030077,0.0539229,0.0148178,0.0537204,2.42092e-322
0.00707489,0.0406094,0.0149305,0.0267361,0.0228112,0.0404075,10
0.0148178,0.0537204,-0.000438019,0.0540744,0.00707489,0.0406094,10
0.0546908,-0.0128005,0.0662665,-0.0221001,0.0678079,-0.00777909,10
0.0678079,-0.00777909,0.0580685,-0.00111343,0.0546908,-0.0128005,10
0.0662665,-0.0221001,0.0797222,-0.0153187,0.0678079,-0.00777909,1.00296e-316
0.0546908,-0.0128005,0.0502901,-0.0291666,0.0662665,-0.0221001,2.42092e-322
0.0661146,0.0202785,0.0792129,0.0284537,0.0658576,0.0357014,0
0.0658576,0.0357014,0.0498505,0.0272137,0.0661146,0.0202785,0
0.0792129,0.0284537,0.0791734,0.0433671,0.0658576,0.0357014,0
0.0661146,0.0202785,0.0796594,0.0136271,0.0792129,0.0284537,0
0.0450097,-0.0562742,0.0540388,-0.0457976,0.0394172,-0.0428883,1.0031e-316
0.0394172,-0.0428883,0.0309054,-0.0552216,0.0450097,-0.0562742,2.42092e-322
0.0540388,-0.0457976,0.0502901,-0.0291666,0.0394172,-0.0428883,0
0.0450097,-0.0562742,0.0566433,-0.0575515,0.0540388,-0.0457976,0
0.0676913,0.00580172,0.0678079,-0.00777909,0.0799771,-0.00088657,0
0.0799771,-0.00088657,0.0796594,0.0136271,0.0676913,0.00580172,0
0.0678079,-0.00777909,0.0797222,-0.0153187,0.0799771,-0.00088657,0
0.0676913,0.00580172,0.0580685,-0.00111343,0.0678079,-0.00777909,2.42092e-322
0.0517813,-0.0681752,0.0606696,-0.0796815,0.0657037,-0.0657777,0
0.0657037,-0.0657777,0.0566433,-0.0575515,0.0517813,-0.0681752,0
0.0606696,-0.0796815,0.0783956,-0.0773551,0.0657037,-0.0657777,0
0.0517813,-0.0681752,0.0454073,-0.0805565,0.0606696,-0.0796815,0
0.0794265,-0.0300131,0.0662665,-0.0221001,0.0660261,-0.0373213,1.0031e-316
0.0660261,-0.0373213,0.079417,-0.0448425,0.0794265,-0.0300131,5.58294e-322
0.0662665,-0.0221001,0.0502901,-0.0291666,0.0660261,-0.0373213,1.97626e-323
0.0794265,-0.0300131,0.0797222,-0.0153187,0.0662665,-0.0221001,0
0.0450097,-0.0562742,0.0378087,-0.0681154,0.0517813,-0.0681752,0
0.0517813,-0.0681752,0.0566433,-0.0575515,0.0450097,-0.0562742,0
0.0378087,-0.0681154,0.0454073,-0.0805565,0.0517813,-0.0681752,0
0.0450097,-0.0562742,0.0309054,-0.0552216,0.0378087,-0.0681154,0
0.0668873,-0.0517785,0.0660261,-0.0373213,0.0540388,-0.0457976,0
0.0540388,-0.0457976,0.0566433,-0.0575515,0.0668873,-0.0517785,0
0.0660261,-0.0373213,0.0502901,-0.0291666,0.0540388,-0.0457976,0
0.0668873,-0.0517785,0.079417,-0.0448425,0.0660261,-0.0373213,0
0.0322953,-0.0287784,0.0241623,-0.0419848,0.0394172,-0.0428883,0
0.0394172,-0.0428883,0.0502901,-0.0291666,0.0322953,-0.0287784,0
0.0241623,-0.0419848,0.0309054,-0.0552216,0.0394172,-0.0428883,0
0.0322953,-0.0287784,0.0168381,-0.0289221,0.0241623,-0.0419848,2.42092e-322
-0.0221201,-0.0655184,-0.00663801,-0.0664765,-0.0133478,-0.0527354,0
-0.0133478,-0.0527354,-0.0303504,-0.0498275,-0.0221201,-0.0655184,0
